tempo;espaco
12.01;28.5
13.006;46.0
14.001;31.9
14.025;43.8
15.02;33.8
16.015;42.3
17.008;34.8
18.004;41.8
18.029;35.6
19.023;41.0
20.019;36.1
21.013;40.6
22.01;36.4
23.004;40.2
23.029;36.8
24.025;39.9
25.019;36.7
26.015;40.0
27.009;37.1
28.003;39.7
