tempo;espaco
13.006;28.3
14.001;46.3
14.025;32.0
15.02;43.8
16.015;33.8
17.008;42.4
18.004;34.9
18.028;41.7
19.024;35.6
20.018;40.9
21.013;36.1
22.008;40.5
23.003;36.5
23.029;40.1
24.023;36.6
25.017;39.9
26.014;36.9
27.007;39.6
28.003;37.1
28.028;39.7

