frequencia;amplitude
1,594717083;1,05
1,881193206;2,5
2,651133041;3,6
4,188790205;9,35
4,688944259;2,25
3,342119844;4,8
5,026548246;1,45
5,026548246;4
2,869034387;8,6
1,644812908;3,4
7,435722257;1,6
4,569589314;7,1
6,283185307;3,25
5,302266082;4,4
4,147317034;33,75
2,607130833;4,9
4,274275719;16,55
3,854714912;70,45
4,106657064;16
